Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0419,Yes,,Multiple,2014,2014,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Dietary exposure and risk assessment in humans and dolphins,Subtropical,,Multiple,,,CV,
P_0056,Yes,,Multiple,2015,2015,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0434,Yes,,Multiple,2015,2016,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation of PFAS and spatial trends,Subtropical,,One,,,LR,
P_0308,Yes,,Multiple,2015,2017,,One,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Temporal and spatial Trends in PFAS concentrations,Subtropical,,One,,,CV,
P_0440,Yes,,Multiple,2016,2016,,One,,Estuarine,,Female,,Juvenile/adult,,Yes,PFAS burden in correlation with fecundity,Subtropical,,Multiple,,,LR,
P_0399,Yes,,Multiple,2016,2016,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Spatial distribution of PFASs in the aquatic food webs,Subtropical,,Multiple,,,CV,
P_0166,Yes,,Multiple,2017,2017,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0387,Yes,,Multiple,2017,2017,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Correlation between animal size and PFAS conc in muscle tissue,Subtropical,,Multiple,,,LR,
P_0608,Yes,,Multiple,2017,2017,,One,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Trial of depuration of PFAS conc,Subtropical,,One,,,LR,
P_0221,Yes,,Multiple,2017,2018,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation factors were calculated,Temperate,,One,,,CV,
P_0054,Yes,,Multiple,2018,2018,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0614,Yes,,Multiple,2018,2018,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,"comparison of accumulation profiles of PFAS among different marine species, evaluation of potential human health risks of PFAS through seafood consumption",Subtropical,,Multiple,,,CV,
P_0394,No,,Multiple,2018,2019,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Evaluating the impact of coastal urbanization on pollutant concentrations in marine animals.,Subtropical,,One,,,CV,
P_0593,Yes,,Multiple,2019,2019,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,"Determination of PFAS levels after AFFF spill, risk assessment of PFAS exposure via fish and shellfish consumption to humans",Subtropical,,Multiple,,,LR,
P_0581,Yes,,Multiple,unknown,unknown,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,"evaluation of enrichments throughout the lagoon trophic web, evaluation of daily dietary intakes for humans  related to fish consumption",Temperate,,Multiple,,,CV,
P_0024,Yes,,Multiple,Unknown,Unknown,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation,Tropical,,Multiple,,,CV,
P_0013,Yes,,Multiple,unknown,unknown,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation,Tropical,,Multiple,,,CV,
P_0416,Yes,,Multiple,unknown,unknown,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Effects of cooking methods on PFAS concentrations,Subtropical,,One,,,CV,
P_0425,Yes,,Multiple,unknown,unknown,,Multiple,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Assessment of human health risk,Subtropical,,One,,,LR,
P_0310,Yes,,Multiple,unknown,unknown,,One,,Estuarine,,Unknown,,Juvenile/adult,,Yes,Metabolomic profiles in relation to PFAS concentrations,Subtropical,,One,,,CV,
P_0541,Yes,,One,unknown,unknown,,One,,Estuarine,,Unknown,,Juvenile/adult,,Yes,"Comparison of PFAS burdens across regions --> assessment of possible PFAS sources, to investigate potential relationships between PFOS content and size/age and sex of the organisms",Subtropical,,One,,,LR,
P_0275,Yes,,Multiple,1972,2011,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Temporal trends and spatial differences,Temperate,,One,,,CV,
P_0137,Yes,,Multiple,1979,2004,,One,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0546,Yes,,Multiple,1980,2002,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Distribution of PFAS levels across trophic levels in food web and temporal trends,Temperate,,Multiple,,,LR,
P_0475,No,,Multiple,1984,2008,,One,,Freshwater,,Unknown,,Eggs/early development,,Yes,Temporal trends,Temperate,,One,,,CV,
P_0018,Yes,,Multiple,1993,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation,Subtropical,,Multiple,,,CV,
P_0295,Yes,,Multiple,1994,2003,Fish: 2001-2003,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0629,Yes,,Multiple,1995,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,temporal trends and patterns of PFAS concentrations,Temperate,,One,,,CV,
P_0046,No,,One,1995,2014,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Temporal trends,Temperate,,One,,,CV,
P_0150,Yes,,Multiple,1997,2008,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0247,Yes,,Multiple,1998,2007,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,Multiple,,,CV,
P_0192,Yes,,Multiple,1998,2001,Fish: 1998-2000,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0337,Yes,,Multiple,1998,2005,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0167,No,,One,1999,2001,,One,,Freshwater,,Female,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0351,Yes,,Multiple,2000,2001,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation,Temperate,,One,,,CV,
P_0526,Yes,,One,2001,2006,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation of PFOS,Temperate,,Multiple,,,CV,
P_0524,Yes,,Multiple,2001,2001,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Assessment of human PFAS exposure due to fish consumption ,Temperate,,One,,,CV,
P_0136,Yes,,Multiple,2001,2001,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,One,,"6:2 FTUCA? -> Is this ok nomenclature, is it considered PFAS, NOT ON OUR LIST",CV,
P_0320,Yes,,Multiple,2002,2009,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0173,No,,One,2002,2002,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0229,Yes,,Multiple,2003,2010,Fish: 2008-2010,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,Fish: one,,CV,
P_0261,Yes,,Multiple,2003,2003,,One,,Freshwater,,Female,,Mixed,,Yes,Maternal transfer of PFAS to eggs,Subtropical,,Multiple,,,CV,
P_0067,Yes,,Multiple,2003,2009,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0535,Yes,,Multiple,2003,2004,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioconcentration of PFOA in comparison with that of PFOS,Temperate,,One,,,LR,
P_0508,Yes,,Multiple,2003,2009,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Spatial & temporal trends, measurement of bioaccumulation factors",Temperate,,One,,,CV,
P_0380,Yes,,Multiple,2004,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Temporal trends,Temperate,,One,,,LR,
P_0011,Yes,,Multiple,2005,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0186,Yes,,Multiple,2005,2005,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Accumulation profile of different PFAS was investigated, Maternal transfer of PFAS, Differences in pharmacokinetics of PFASs was also suggested ",Temperate,,Multiple,,,CV,
P_0265,Yes,,Multiple,2005,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0513,Yes,,Multiple,2005,2005,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Biomonitoring and environmental impact of AFFF release,Temperate,,One,,,CV,
P_0020,Yes,,Multiple,2006,2006,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0292,Yes,,Multiple,2006,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0119,Yes,,Multiple,2006,2007,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0017,Yes,,Multiple,2006,2006,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0118,Yes,,Multiple,2006,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,One,,Is bioaccumulation a functional aspect? I said no.,CV,
P_0074,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0267,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0501,Yes,,One,2007,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Biomagnification in freshwater food web,Temperate,,Multiple,,,LR,
P_0142,No,,Multiple,2007,2007,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,No,,Polar,,One,,"C4-14 nomenclature - used internet, Confused whether sample location should be lake or country (especially if multiple lakes sampled.), appendix missing --> Country, not lake!",CV,
P_0588,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Assessment of the potential health risks to human consumers,Subtropical,,One,,,LR,
P_0517,Yes,,Multiple,2007,2007,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,geographical distribution of PFAS,Temperate,,One,,,CV,
P_0181,No,,Multiple,2008,2009,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0667,Yes,,Multiple,2008,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Spatial distribution of PFAS in lake ecosystem,Temperate,,Multiple,,,CV,
P_0487,Yes,,Multiple,2008,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Bioaccumulation of PFAS in fish after a major AFFF spill, assess the time trends for PFAS at those locations",Temperate,,Multiple,,,LR,
P_0650,Yes,,Multiple,2008,2010,,Multiple,,Freshwater,"(CV) Damselfly counts as freshwater here, as they collected larvae. (LR) Agree",Unknown,,Juvenile/adult,,Yes,Assessment if local PFAS contamination originated from near-by airport or not,Temperate,,Multiple,,,LR,
P_0240,No,,Multiple,2008,2009,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0163,Yes,,Multiple,2008,2010,,One,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0066,No,,Multiple,2008,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0259,Yes,,Multiple,2008,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0482,Yes,,Multiple,2008,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,LR,
P_0651,Yes,,Multiple,2008,2008,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Association between PFAS burdens in fish and anglers,Temperate,,One,,,LR,
P_0206,Yes,,Multiple,2008,2008,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,Bioaccumulation not explicitly mentioned but perhaps implied,CV,
P_0106,Yes,,Multiple,2009,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Mixed,,Multiple,,Fish livers were better indicators of PFAS than muscle,CV,
P_0064,Yes,,Multiple,2009,2013,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0110,Yes,,Multiple,2009,2009,,One,,Freshwater,,Male,,Juvenile/adult,,Yes,,Temperate,,Multiple,,"Largemouth bass with high PFAS concentrations exhibited changes in the expression of genes related to lipid metabolism, energy production, RNA processing, protein production/degradation and contaminant detoxification, all of which are consistent with biomarker responses observed in other studies with PFASs",CV,
P_0087,No,,Multiple,2009,2009,,One,,Freshwater,,Unknown,,Eggs/early development,,No,,Subtropical,,One,,,CV,
P_0252,Yes,,Multiple,2009,2013,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0490,Yes,,Multiple,2009,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Exploration of link between PFOS accumulation in fish and possible upstream sources such as airport near-by,Temperate,,One,,,LR,
P_0222,Yes,,Multiple,2010,2011,,Multiple,Fish: one,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0304,No,title mentions other halogenated compounds,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0331,No,,Multiple,2010,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0215,Yes,,Multiple,2010,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Bioaccumulation factor, Relationship between blood:liver PFOS ratio and sexual maturity of mandarin fish, sex specific differences for PFNA in mandarin carp, species specific compound specific and tissue specific bioaccumulation",Temperate,,Multiple,,,CV,
P_0213,Yes,,Multiple,2010,2010,,One,Not sure as they mention that other species with lower PFC loads were used for validation,Freshwater,,Mixed,,Juvenile/adult,,Yes,Asoprtion and bioaccumulation were influenced by PFC structure + PFC had higher binding affinity for plasma proteins hence higher levels of PFAS in blood and liver,Temperate,,Multiple,,,CV,
P_0188,Yes,,Multiple,2010,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"bioaccumulation, PFC concentrations weakly associated with carcass mass",Temperate,,Multiple,compared mean PFAS concentrations between fillets vs whole fish,,CV,
P_0347,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0420,No,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Relations on the presence of contaminants to fish species, their position in the food web and their theoretical diet",Mixed,,One,,,CV,
P_0099,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0225,No,,Multiple,2010,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Investigated relationships between physical characteristics and contaminant concentrations,Subtropical,,One,,,CV,
P_0336,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0466,Yes,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Relationship between PFAS in fish and water physical parameters,Subtropical,,One,,,CV,
P_0172,No,,Multiple,2010,2010,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0459,No,,Multiple,2010,2015,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Correlations between intersex and molecular biomarkers and anthropogenic pollutants,Temperate,,One,,,CV,
P_0491,Yes,,Multiple,2010,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Effectiveness of cooking methods to reduce PFAS burdens,Temperate,,One,,,LR,
P_0060,Yes,,Multiple,2010,2014,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Correlation of PFAS burden and fish size, age and trophic position investigated",Temperate,,One,,,CV,
P_0083,Yes,,Multiple,2011,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0257,Yes,,Multiple,2011,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0039,Yes,,Multiple,2011,2014,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0407,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Tissue distribution of PFAS,Temperate,,Multiple,,,CV,
P_0178,Yes,,Multiple,2011,2011,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Correlation between gene expression and PFAS burden,Temperate,,Multiple,,,CV,
P_0068,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,Multiple,,,CV,
P_0354,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0114,No,,Multiple,2011,2012,,One,,Freshwater,,Female,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0113,No,,Multiple,2011,2012,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Temperate,,One,,Thyroid endocrine status and correlation to POPs burdens,CV,
P_0199,No,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0472,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Transport and fate of PFAS in soil, water and fish at the former military airport",Temperate,,One,,,CV,
P_0321,No,,Multiple,2012,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,Fish: one,,CV,
P_0128,Yes,,Multiple,2012,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,maternal transfer,Subtropical,,Multiple,,,CV,
P_0665,Yes,,Multiple,2012,2012,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Trophic Magnification and Isomer Fractionation,Subtropical,,Multiple,,,CV,
P_0179,No,,Multiple,2012,2012,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Gene-environment interactions noted. increased exposure to PFOS has increased ACOX transcription in fish,Temperate,,Multiple,,,CV,
P_0303,Yes,,Multiple,2012,2012,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Evaluating beavers as potential POPs bioindicators, bioaccumulation assessment, developing analytical method",Temperate,,Multiple,,,CV,
P_0574,Yes,,Multiple,2012,2013,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Evaluation of the impact of a local swage treatment plant on the aquatic ecosystem,Temperate,,Multiple,,,CV,
P_0101,Yes,,Multiple,2012,2012,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,Multiple,,Fish livers were better indicators of PFAS than muscle,CV,
P_0070,Yes,,Multiple,2012,2015,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Positive correlation between PFAAS and snout-vent length in alligators suggesting PFAS body burden increases with size, Relationship between PFAS body burdens and parameters including sex, body size and location investigated",Subtropical,,One,,,CV,"Not available online, Losia sent request to Yefeng to get paper and translate"
P_0105,Yes,,Multiple,2012,2013,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Correlations between length, spatial differences and sex with PFAS load + accumulation determined",Subtropical,,One,,,CV,
P_0486,Yes,,Multiple,2012,2012,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Human dietary exposure through fish consumption,Temperate,,One,,,LR,
P_0293,Yes,,Multiple,2013,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0594,Yes,,Multiple,2013,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Assessment of factors that control PFAS distribution: fish trophic ecology, contamination sources (urbanization) and chemical biotic transformation.",Temperate,,Multiple,,,LR,
P_0474,Yes,,Multiple,2013,2013,,Multiple,,Freshwater,,Unknown,,Mixed,,Yes,Risk of PFAS exposure to people due to fish consumption,Temperate,,Multiple,,,CV,
P_0426,Yes,,Multiple,2013,2014,,Multiple,,Freshwater,,Unknown,,Mixed,,Yes,"tissues distribution and human consumption
exposure",Temperate,,Multiple,,,LR,
P_0577,Yes,,Multiple,2013,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"temporal trends, PFAS concentrations in aquatic biota downstream from aqueous film forming foam use areas",Subtropical,,One,,,CV,
P_0282,Yes,,Multiple,2013,2014,,Multiple,not very clear,Freshwater,,Unknown,,Juvenile/adult,,Yes,Ecological risk assessment,Temperate,,One,,Excluded,CV,
P_0352,Yes,,Multiple,2014,2014,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Mixed,,Multiple,,,CV,
P_0451,Yes,,Multiple,2014,2016,,One,,Freshwater,,Male,,Juvenile/adult,,Yes,PFAs burden in relation to health status,Subtropical,,Multiple,,,LR,
P_0438,Yes,,Multiple,2014,2014,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Tissue Distribution and Bioaccumulation of PFAS,Subtropical,,Multiple,,,LR,
P_0049,Yes,,Multiple,2014,2014,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0102,No,,Multiple,2014,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0471,Yes,,Multiple,2014,2014,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Human dietary exposure through fish consumption,Temperate,,One,,,CV,
P_0378,No,,Multiple,2014,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Comparison of PFAS conc in fish and fish consumers,Temperate,,One,,,LR,
P_0461,Yes,,Multiple,2014,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Spatial distribution of PFAS, bioconcentration
behaviour of individual PFAS, human health risk",Tropical,,One,,,CV,
P_0452,Yes,,Multiple,2015,2015,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Bioaccumulation and tissue distribution,Subtropical,,Multiple,,,CV,
P_0385,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Tissue distribution and bioaccumulation of PFAS,Subtropical,,Multiple,,,LR,
P_0132,No,,One,2015,2015,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Temperate,,Multiple,,Not sure if functional aspect,CV,
P_0315,Yes,,Multiple,2015,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0037,Yes,,Multiple,2015,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Impact of depth of lake on PFAS concentration in fish, PFAS transport mechanisms",Temperate,,Multiple,,,CV,
P_0398,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Trophodynamics of PFAS in the food web,Temperate,,Multiple,,,CV,
P_0435,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,LR,
P_0143,No,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Subtropical,,One,,Tissue -> multiple tissues but only one investigated for PFAS --> one tissue (we only care about PFAs here),CV,
P_0258,Yes,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
